t_seconds,latency_ms
0.794654,28.5406
0.769598,57.5007
0.423541,404.5622
0.578455,254.2342
0.669205,167.5596
0.444804,392.9420
0.780640,58.9905
0.653091,188.2911
0.755923,90.2135
0.797972,50.9676
0.827099,22.8826
0.540120,316.9274
0.836765,23.5550
0.739514,122.4345
0.771531,91.3663
0.841382,24.3438
0.762498,105.1651
0.823195,52.9217
0.796080,81.0240
0.681914,202.5088
0.801805,83.5799
0.704347,183.2180
0.828103,61.7309
0.782259,111.2937
0.705701,188.8162
0.770562,126.0729
0.765700,134.6509
0.184318,721.6045
0.884424,22.3915
0.849982,60.2589
0.725845,188.6668
0.766667,148.8764
0.186618,733.2111
0.779665,141.0950
0.454137,467.5626
0.680546,243.4265
0.876117,50.2760
0.905923,25.3835
0.906816,27.7460
0.914513,24.1834
0.832689,110.1136
0.814803,128.9272
0.887565,57.3279
0.638385,307.9210
0.896635,55.8703
0.690844,263.1212
0.839631,115.7518
0.877105,82.7525
0.848940,113.6056
0.938696,28.4968
0.816420,152.2172
0.942803,29.0834
0.862898,113.8590
0.861949,115.9536
0.867664,114.4999
0.499533,486.6048
0.804995,182.9750
0.900352,88.5460
0.865727,124.8777
0.737673,254.9495
0.322739,671.3677
0.968637,28.4539
0.976757,24.7476
0.934562,74.6990
0.959858,50.7800
0.910242,101.7374
0.921700,91.7541
0.988898,25.4971
0.982164,39.9599
0.674397,349.0933
0.955383,69.7706
0.809538,219.6199
0.806030,224.5959
0.885386,152.6139
0.953966,85.3973
0.943730,98.4876
0.919830,125.9180
0.846137,205.3750
0.602745,449.6936
0.819732,234.0624
0.915544,139.6993
1.030627,26.8719
0.944894,120.5048
1.001506,66.6032
1.011979,58.5760
0.789675,284.2459
1.055244,23.2207
0.931307,149.8928
0.736094,348.5126
0.920761,167.0845
0.992623,96.1815
1.045748,48.3814
1.038000,62.8501
0.986139,117.1038
0.987971,116.6142
0.889835,215.7432
1.039364,68.5286
0.971887,137.0349
1.084607,30.5556
0.857048,261.5064
0.926394,198.1940
1.065399,61.0979
1.023491,104.6314
0.860320,268.7540
1.103243,28.3128
1.022125,113.4673
0.749957,386.7662
0.729692,409.3493
1.088805,52.5771
1.118555,26.5025
1.128123,24.5786
0.807509,349.4693
0.962547,195.3954
1.025154,138.7158
0.946307,220.7768
1.115163,54.1154
1.094130,76.9670
0.994108,180.1292
1.131556,47.5713
1.156979,27.2938
1.053795,132.0587
1.029158,159.3487
0.952506,238.1263
1.104585,91.7845
1.073921,125.8643
1.068109,134.0083
1.010639,196.1860
1.152702,55.7044
1.184273,26.5000
0.923973,289.1756
1.052439,166.3397
1.014396,205.8059
1.081200,143.8109
1.129075,99.3357
0.837746,391.7022
1.171098,63.7487
1.213149,25.0502
1.179128,61.4279
1.218779,24.9824
1.163870,81.3626
1.100851,149.1240
1.228411,25.1327
0.316841,942.8635
1.145058,118.3045
1.185854,80.6474
1.206825,62.5759
1.042218,230.4445
1.249975,26.0519
0.977903,300.3240
1.174237,105.5162
1.051512,232.5454
0.893553,392.4719
1.220202,69.8565
1.208407,89.4902
1.225011,73.9479
1.108923,191.0706
1.078465,225.1986
1.253544,55.3957
1.240556,73.1007
1.169279,146.9608
1.238200,79.3511
1.245233,75.8207
1.276028,46.0149
1.297897,27.8724
1.190633,139.7168
1.009261,324.3668
1.269402,65.5948
1.308941,27.6429
1.188507,149.4973
1.229449,111.2794
1.321055,23.4345
1.157943,188.4676
1.322043,25.7367
1.298960,55.3166
1.135593,222.9561
1.202118,158.2432
0.997092,366.1058
1.286026,81.0280
1.299994,69.4723
1.136724,235.1754
1.199786,177.3599
1.259705,120.6404
1.354277,29.4649
1.013455,376.3758
1.234847,158.5635
1.330350,64.0949
1.141382,255.5194
1.167084,231.8097
1.266502,133.8009
1.325770,76.3491
1.272663,131.8933
1.380346,29.8985
1.057499,355.9498
1.263363,153.6647
1.243762,176.2776
1.126497,294.9584
1.371900,50.7413
1.290059,134.4298
1.358549,67.7936
1.279754,153.9831
1.383742,51.3662
