t_seconds,latency_ms
3.354699,24.0398
3.155746,224.6773
3.331067,56.4000
3.328760,60.3156
3.118067,275.6135
2.953801,440.8601
3.318601,78.0344
3.309248,90.5617
3.074061,331.3101
3.335046,72.2132
3.251500,163.1354
3.377163,39.6969
3.304602,115.3817
3.281767,141.4492
3.227104,198.4804
3.399811,27.2145
3.176084,253.0127
3.140656,294.6762
3.323488,117.0843
3.380424,62.6379
3.414635,31.0640
3.416861,31.6278
3.351845,101.7582
3.259595,195.3728
3.263985,192.7691
3.396635,63.5028
3.373997,88.9474
3.271824,192.0885
3.435333,31.6886
3.158718,313.2481
3.405372,67.5990
3.394661,82.1710
3.319574,168.7568
3.310879,178.4292
3.393681,96.6024
3.248878,245.4239
3.419985,75.6988
3.356591,142.1533
3.445700,55.4294
3.280763,227.4683
3.032805,476.4289
3.093701,418.4811
3.144199,369.8637
3.472971,44.0276
3.250483,267.4606
3.340705,178.4323
3.494303,26.3228
3.425584,104.7422
3.407260,126.2713
3.476833,58.5568
3.260992,275.7316
3.509235,31.2712
3.423217,122.6024
3.517944,28.8796
3.460139,91.3031
3.349209,203.2235
3.018239,535.2174
3.312845,245.6392
3.533532,27.4592
3.471967,93.4610
3.361108,207.0110
3.520626,49.5780
3.508232,67.9762
3.453603,124.9736
3.456755,122.7842
3.076541,505.7846
3.558485,27.4360
3.536724,51.4373
3.350902,245.2746
3.540506,57.0435
3.546824,52.0646
3.512183,89.4284
3.370348,232.6890
3.462945,141.2936
3.551442,56.3089
3.287974,324.9298
3.530327,87.9809
3.560992,59.0564
3.535390,85.6346
3.463913,158.9543
3.443062,185.6246
3.276118,354.1116
3.565428,67.0880
3.514064,123.5431
3.495684,144.2505
3.618308,25.0433
3.545819,104.6853
3.501130,151.3115
3.570204,83.6121
3.488331,170.4758
3.598889,61.9630
3.467022,194.8198
3.519138,145.0587
3.643352,24.9494
3.489308,186.1839
3.427026,251.1642
3.490284,195.0967
3.652442,34.7506
3.454968,233.7817
3.552433,139.3521
3.576209,116.6124
3.658808,38.8282
3.440573,258.0199
3.620048,86.2083
3.378739,332.2573
3.169129,542.8050
3.661842,51.0707
3.588162,126.2152
3.604239,115.2883
3.621025,102.4519
3.596177,129.8821
3.685381,42.0660
3.568119,164.5810
3.389077,346.1168
3.579540,157.8853
3.710997,28.7932
3.553457,191.4564
3.719528,28.0756
3.622867,126.3157
3.498745,251.5186
3.628688,128.5902
3.603038,155.6462
3.737425,24.2462
3.706257,58.2348
3.650505,115.5767
3.675493,94.8149
3.750264,23.3610
3.757278,21.8011
3.732701,48.3399
3.630230,154.9299
3.766082,22.8422
3.582326,209.7423
3.585921,211.4402
3.387467,410.8403
3.597550,203.5842
3.692822,109.2967
3.779080,25.6535
3.448489,365.8068
3.726059,89.2027
3.632516,185.5290
3.653817,166.2223
3.678190,146.1181
3.744914,83.7398
3.792069,38.0292
3.612904,222.4178
3.429098,407.1825
3.637607,201.7126
3.363063,481.3191
3.797362,49.3117
3.785160,63.7512
